location_name,iso3,year,domain,adverse_z,peer_reference,indicator_group,profile_2023,marked_adverse_z_gt_0_5
Mongolia,MNG,2023,WASH,1.7894783384718205,same-year SDI-quintile peers,WASH,Neither,True
Mongolia,MNG,2023,Immunisation/UHC,-0.7776003753856605,same-year SDI-quintile peers,Immunisation/UHC,Neither,False
Mongolia,MNG,2023,HIV/TB,0.4586897602372697,same-year SDI-quintile peers,HIV/TB,Neither,False
Mongolia,MNG,2023,Nutrition,-0.9757839125251696,same-year SDI-quintile peers,Nutrition,Neither,False
Mongolia,MNG,2023,Health resources,-0.0723078568237544,same-year SDI-quintile peers,Health resources,Neither,False
Tajikistan,TJK,2023,Household energy/HAP,-0.2120408160812005,same-year SDI-quintile peers,Household energy/HAP,Neither,False
Tajikistan,TJK,2023,Ambient PM2.5,0.934302961132496,same-year SDI-quintile peers,Ambient PM2.5,Neither,True
Tajikistan,TJK,2023,Climate/transmission,-1.915417844145073,same-year SDI-quintile peers,Climate/transmission,Neither,False
Tajikistan,TJK,2023,WASH,-0.5221584788054942,same-year SDI-quintile peers,WASH,Neither,False
Tajikistan,TJK,2023,Immunisation/UHC,-0.4193744494950383,same-year SDI-quintile peers,Immunisation/UHC,Neither,False
Tajikistan,TJK,2023,HIV/TB,-0.4987663393122519,same-year SDI-quintile peers,HIV/TB,Neither,False
